place,pi.ac,nombre,pais,age_group,finish,gender
Pl.AC,,Sin nombre,Sin país,,Sin tiempo,M
1,,"Mengesha, Milkesa",ETH,H,02:03:17,M
1,,"Kotut, Cybrian",KEN,30,02:03:22,M
2,,"Alew, Haymanot",ETH,H,02:03:31,M
3,,"Kiprop, Stephen",KEN,H,02:03:37,M
4,,"Kiros, Hailemariyam",ETH,H,02:04:35,M
5,,"Ikeda, Yohei",JPN,H,02:05:12,M
6,,"Takele, Tadese",ETH,H,02:05:13,M
7,,"Ruesom, Oqbe Kibrom",ERI,H,02:05:37,M
8,,"Onchari, Enock",KEN,H,02:05:53,M
,,Sin nombre,Sin país,,Sin tiempo,W
,,"Ketema, Tigist",ETH,H,02:16:42,W
,,"Fikir, Mestawot",ETH,H,02:18:48,W
,,"Mulatie, Bosena",ETH,H,02:19:00,W
,,"Mulisa, Aberu Ayana",ETH,H,02:20:20,W
,,"Hosoda, Ai",JPN,H,02:20:31,W
,,"Matsuda, Mizuki",JPN,H,02:20:42,W
,,"Hauger-Thackery, Calli",GBR,30,02:21:24,W
,,"Melese, Yebregual",ETH,30,02:21:39,W
,,"Wereta, Fikrte",ETH,H,02:23:23,W
