place_overall,place_gender,nombre,pais,division,finish,gender
Place Overall,Place Gender,Sin nombre,Sin país,,Sin tiempo,M
1,1,"Korir, John",KEN,25-29,02:02:44,M
2,2,"Esa, Huseydin Mohamed",ETH,20-24,02:04:39,M
3,3,"Kipruto, Amos",KEN,30-34,02:04:50,M
4,4,"Ngetich, Vincent",KEN,25-29,02:05:16,M
5,5,"Ebenyo, Daniel",KEN,25-29,02:06:04,M
6,6,"Hosoya, Kyohei",JPN,25-29,02:07:20,M
7,7,"Albertson, Cj",USA,30-34,02:08:17,M
8,8,"Sadakata, Toshiki",JPN,30-34,02:08:22,M
9,9,"Masai, Alex",KEN,25-29,02:08:51,M
Place Overall,Place Gender,Sin nombre,Sin país,,Sin tiempo,W
11,1,"Chepngetich, Ruth",KEN,30-34,02:09:56,W
29,2,"Asefa Kebede, Sutume",ETH,25-29,02:17:32,W
34,3,"Cheptai, Irine",KEN,30-34,02:17:51,W
38,4,"Diriba Kejela, Buze",ETH,30-34,02:20:22,W
41,5,"Jepkosgei, Joyciline",KEN,30-34,02:20:51,W
42,6,"Azimeraw, Degitu",ETH,25-29,02:20:52,W
47,7,"Sullivan, Susanna",USA,30-34,02:21:56,W
54,8,"Bekere Dido, Ashete",ETH,35-39,02:23:10,W
57,9,"Flanagan, Lindsay",USA,30-34,02:23:31,W
