page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,Sin posición general,Sin posición género,Name,,Sin división,M
1,,1,"Lemma, Sisay","Finish Gun
02:06:17",18-39,M
1,,2,"Esa, Mohamed","Finish Gun
02:06:58",18-39,M
1,,3,"Chebet, Evans","Finish Gun
02:07:22",18-39,M
1,,4,"Korir, John","Finish Gun
02:07:40",18-39,M
1,,5,"Korir, Albert","Finish Gun
02:07:47",18-39,M
1,,6,"Mpofu, Isaac","Finish Gun
02:08:17",18-39,M
1,,7,"Albertson, Cj","Finish Gun
02:09:53",18-39,M
1,,8,"Morii, Yuma","Finish Gun
02:09:59",18-39,M
1,,9,"Kotut, Cybrian","Finish Gun
02:10:29",18-39,M
1,,10,"Talbi, Zouhair","Finish Gun
02:10:45",18-39,M
1,,11,"Kitata, Shura","Finish Gun
02:10:52",18-39,M
1,,12,"Moen, Sondre","Finish Gun
02:11:18",18-39,M
1,,13,"Osako, Suguru","Finish Gun
02:11:44",18-39,M
1,,14,"Kibet, Elkanah","Finish Gun
02:12:32",40-44,M
1,,15,"Eiler, Ryan","Finish Gun
02:14:22",18-39,M
1,,16,"Haileselassie, Yemane","Finish Gun
02:14:44",18-39,M
1,,17,"Kobe, Primoz","Finish Gun
02:14:56",40-44,M
1,,18,"Smyth, Patrick","Finish Gun
02:15:45",18-39,M
1,,19,"O'Connor, Grant","Finish Gun
02:16:17",18-39,M
1,,20,"Alexandru, Corneschi","Finish Gun
02:16:23",18-39,M
1,,21,"Miranda, Robert","Finish Gun
02:16:28",18-39,M
1,,22,"Takeuchi, Ryoma","Finish Gun
02:16:43",18-39,M
1,,23,"Baum, Lorenz","Finish Gun
02:16:51",18-39,M
1,,24,"Shiohira, Jacob","Finish Gun
02:17:08",18-39,M
1,,25,"Otsu, Kento","Finish Gun
02:17:57",18-39,M
1,,26,"Mugrage, Kristoffer","Finish Gun
02:18:46",18-39,M
1,,27,"Leach, Prescott","Finish Gun
02:19:50",40-44,M
1,,28,"Grano, Giovanni","Finish Gun
02:19:56",18-39,M
1,,29,"Mccann, Andrew","Finish Gun
02:20:06",18-39,M
1,,30,"Conn, Joel","Finish Gun
02:21:35",40-44,M
1,,31,"Sanca, Ruben","Finish Gun
02:21:43",18-39,M
1,,32,"Mcdonald, Matthew","Finish Gun
02:21:55",18-39,M
1,,33,"Weldlibanos, Tsegay","Finish Gun
02:22:00",18-39,M
1,,34,"Hunt, Craig","Finish Gun
02:22:07",18-39,M
1,,35,"Gomez Mejia, Victor Daniel","Finish Gun
02:22:10",18-39,M
1,,36,"Morse, Sam","Finish Gun
02:22:21",40-44,M
1,,37,"Whelan, Joseph","Finish Gun
02:22:44",18-39,M
1,,38,"Fazioli, Samuel","Finish Gun
02:23:52",18-39,M
1,,39,"Hamilton, Tyler","Finish Gun
02:24:08",18-39,M
1,,40,"Nation, Will","Finish Gun
02:24:18",18-39,M
1,,41,"Morone, Miguel","Finish Gun
02:24:27",40-44,M
1,,42,"Dimitri, Brandon","Finish Gun
02:24:36",18-39,M
1,,43,"Toth, Thomas","Finish Gun
02:24:34",18-39,M
1,,44,"Batty, Miles","Finish Gun
02:25:24",18-39,M
1,,45,"Rose, Jack","Finish Gun
02:25:24",18-39,M
1,,46,"Jami, Segundo","Finish Gun
02:25:24",18-39,M
1,,47,"Biebelhausen, Stephen","Finish Gun
02:25:31",18-39,M
1,,48,"O'Keefe, Dan","Finish Gun
02:25:48",18-39,M
1,,49,"Quigley, John","Finish Gun
02:25:58",18-39,M
1,,50,"Joyce, Daniel","Finish Gun
02:26:01",18-39,M
1,,51,"Phillips-Hart, Christopher","Finish Gun
02:25:56",18-39,M
1,,52,"Akiyama, Taiyo","Finish Gun
02:26:00",18-39,M
1,,53,"Keirns, Bryant","Finish Gun
02:26:05",18-39,M
1,,54,"Carette, Romain","Finish Gun
02:26:13",18-39,M
1,,55,"Fernandez, Patrick","Finish Gun
02:26:18",18-39,M
1,,56,"Moncrieff, Ryan","Finish Gun
02:26:37",18-39,M
1,,57,"Butterfield, Tyler","Finish Gun
02:26:56",40-44,M
1,,58,"Hale, Joseph","Finish Gun
02:27:01",18-39,M
1,,59,"Degen, George","Finish Gun
02:27:12",18-39,M
1,,60,"Lawrence, Steven","Finish Gun
02:27:05",45-49,M
1,,61,"Thornburg, Timothy","Finish Gun
02:27:23",18-39,M
1,,62,"Kennedy, Brent","Finish Gun
02:28:05",18-39,M
1,,63,"Collins, Liam","Finish Gun
02:27:27",18-39,M
1,,64,"Stone, Thomas","Finish Gun
02:27:35",18-39,M
1,,65,"Cheng, Qianyu","Finish Gun
02:27:29",18-39,M
1,,66,"Jones, Cody","Finish Gun
02:27:34",18-39,M
1,,67,"Wiggins, Kai","Finish Gun
02:27:37",18-39,M
1,,68,"Mindel, Scott","Finish Gun
02:27:41",18-39,M
1,,69,"Peterson, Danny","Finish Gun
02:27:44",18-39,M
1,,70,"Savard-Gagnon, David","Finish Gun
02:27:50",40-44,M
1,,71,"Fagundes, Anthony","Finish Gun
02:28:08",18-39,M
1,,72,"Takacsi-Nagy, Lauri","Finish Gun
02:27:56",18-39,M
1,,73,"Devillers, Matthew","Finish Gun
02:28:13",18-39,M
1,,74,"Kruger, Matthew","Finish Gun
02:27:59",18-39,M
1,,75,"Zhou, Fan","Finish Gun
02:28:07",18-39,M
1,,76,"Manning, Jeff","Finish Gun
02:28:15",18-39,M
1,,77,"O'Reilly, Sean","Finish Gun
02:28:22",18-39,M
