page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,Sin posición general,Sin posición género,Name,Finish Gun,Sin división,W
1,37,1,"Obiri, Hellen",02:22:37,18-39,W
1,39,2,"Lokedi, Sharon",02:22:45,18-39,W
1,40,3,"Kiplagat, Edna",02:23:21,40-44,W
1,42,4,"Diriba, Buze",02:24:04,18-39,W
1,44,5,"Teferi, Senbere",02:24:04,18-39,W
1,46,6,"Ngugi, Mary",02:24:24,18-39,W
1,50,7,"Edesa, Workenesh",02:24:47,18-39,W
1,51,8,"Gardadi, Fatima",02:24:53,18-39,W
1,52,9,"Mesfin, Tiruye",02:24:58,18-39,W
1,55,10,"Dida, Dera",02:25:16,18-39,W
1,67,11,"Yirga, Siranesh",02:26:31,18-39,W
1,73,12,"Bates, Emma",02:27:14,18-39,W
1,75,13,"Chepkirui, Vibian",02:27:23,18-39,W
1,81,14,"Kiprop, Helah",02:27:36,18-39,W
1,90,15,"Hall, Sara",02:27:58,40-44,W
1,95,16,"Linden, Desiree",02:28:27,40-44,W
1,134,17,"Belete, Meseret",02:31:03,18-39,W
1,150,18,"Simpson, Jenny",02:31:39,18-39,W
1,166,19,"Orjuela, Angie",02:32:14,18-39,W
1,171,20,"Scott, Dominique",02:32:31,18-39,W
1,324,21,"Valdepenas Cerna, Argentina",02:37:57,40-44,W
1,345,22,"Kellner, Katie",02:38:19,18-39,W
1,346,23,"Krezonoski, Michelle",02:38:23,18-39,W
1,464,24,"Hyland, Rachel",02:40:24,18-39,W
1,470,25,"Lopez, Sara",02:40:28,18-39,W
1,486,26,"Krezonoski, Kim",02:40:50,18-39,W
1,627,27,"Corrigan, Abigail",02:42:54,18-39,W
1,634,28,"Bäcklund, Johanna",02:43:01,18-39,W
1,647,29,"Risteen, Emilee",02:43:12,18-39,W
1,763,30,"Lemon, Maura",02:44:39,18-39,W
1,769,31,"Dennes, Jill",02:47:02,18-39,W
1,779,32,"Reed, Melissa",02:47:23,18-39,W
1,781,33,"Spencer, Emma",02:44:50,18-39,W
1,791,34,"Ames, Lauren",02:45:01,18-39,W
1,799,35,"Hirokawa, Fuka",02:45:30,18-39,W
1,806,36,"Williams, Caroline",02:45:17,18-39,W
1,808,37,"Hendrickson, Jackie",02:47:37,18-39,W
1,841,38,"Raftis, Kylee",02:46:46,18-39,W
1,864,39,"Gaden, Shannon",02:48:28,18-39,W
1,894,40,"Harmon, Kassi",02:46:32,40-44,W
1,929,41,"Short, Sarah",02:46:49,18-39,W
1,937,42,"Cain, Christa",02:48:36,18-39,W
1,989,43,"Chiappone, Shannon",02:48:10,18-39,W
1,1054,44,"Colwell, Molly",02:50:15,18-39,W
1,1121,45,"Zaborowska, Ewa",02:49:44,18-39,W
1,1133,46,"Maida, Arianna",02:50:27,18-39,W
1,1134,47,"Haegler, Marya",02:55:09,18-39,W
1,1146,48,"Torres Landa Aizpuru, Alexia",02:52:00,18-39,W
1,1220,49,"Luchezi, Mariana",02:50:23,18-39,W
1,1222,50,"Kiernan, Reilly",02:55:02,18-39,W
1,1285,51,"Salamone, Marguerite",02:50:38,18-39,W
1,1301,52,"Waineo, Kiersten",02:54:26,18-39,W
1,1339,53,"Toledo, Bianca",02:53:39,18-39,W
1,1351,54,"Chaney, Angela",02:52:55,18-39,W
1,1379,55,"Houghton, Belinda",02:51:48,18-39,W
1,1394,56,"Schindel, Caitlin",02:53:25,18-39,W
1,1396,57,"Kehoe, Jacqueline",02:57:11,18-39,W
1,1404,58,"Rouse, Gina",02:51:16,40-44,W
1,1412,59,"Corgel, Stefanie",02:53:18,18-39,W
1,1429,60,"Cullingford, Stefanie",02:54:03,18-39,W
1,1439,61,"Escobar, Teresa",02:55:14,18-39,W
1,1444,62,"Martinez, Vicky",02:56:58,18-39,W
1,1466,63,"Gustafson, Kate",02:54:50,18-39,W
1,1472,64,"Mammen, Mindy",02:51:55,40-44,W
1,1552,65,"Del Giudice, Erin",02:54:41,18-39,W
1,1566,66,"Haehner, Anne Marie",02:55:05,40-44,W
1,1582,67,"Eriksen, Ingrid",02:56:53,18-39,W
1,1612,68,"Iacone, Dina",02:55:21,18-39,W
1,1634,69,"Pietrzyk, Caroline",02:56:28,18-39,W
1,1642,70,"Mcdermott, Casey",02:53:49,18-39,W
1,1652,71,"Rodin, Rachel",02:54:42,18-39,W
1,1665,72,"King, Madeleine",02:54:13,18-39,W
1,1703,73,"Krummenacher, Claire",02:56:03,18-39,W
1,1708,74,"Reid, Claire",02:56:01,18-39,W
1,1757,75,"Aspitz, Danielle",02:56:26,18-39,W
1,1758,76,"Anderson, Sarah",02:54:23,18-39,W
1,1771,77,"Hawkins, Courtney",02:55:38,18-39,W
1,1773,78,"Babish, Lindsay",02:55:00,40-44,W
1,1779,79,"Kimble, Caroline",02:56:40,18-39,W
1,1797,80,"Schassberger, Molly",02:55:59,18-39,W
1,1807,81,"Chavero, Mariana",02:58:26,18-39,W
1,1842,82,"Skelley, Alaina",03:00:33,18-39,W
1,1874,83,"Carter, Mattie",03:00:34,18-39,W
1,1897,84,"Strong, Kayla",02:57:26,18-39,W
1,1901,85,"Watson, Jessica",02:55:47,18-39,W
1,1903,86,"Bandt, Carly",02:59:23,18-39,W
1,1915,87,"Mayer, Katarina",02:58:40,18-39,W
1,1921,88,"Hirsch, Madison",02:59:00,18-39,W
1,1935,89,"Ben-Ishai, Elizabeth",02:59:09,40-44,W
1,1948,90,"Farmer, Samantha",02:56:41,18-39,W
1,1954,91,"Raymond, Maude",02:58:05,18-39,W
1,1985,92,"Aluise, Kayla",02:55:57,18-39,W
1,1995,93,"Sullivan, Madison",02:57:03,18-39,W
1,2011,94,"Murray, Shannen",03:00:23,18-39,W
1,2018,95,"Yazlovskaya, Violetta",02:56:01,18-39,W
1,2029,96,"Chappell, Kelsi",02:57:19,18-39,W
1,2033,97,"Stasulli, Dominique",02:55:58,18-39,W
1,2041,98,"Camy, Elizabeth",02:55:58,40-44,W
1,2044,99,"Schmitt, Rebecca",02:59:02,18-39,W
1,2054,100,"Young, Lorna",03:01:43,18-39,W
1,2084,101,"Roper, Kara",02:56:59,40-44,W
1,2092,102,"Quilliam, Nicole",02:59:53,18-39,W
1,2093,103,"Winslow, Danielle",03:00:19,18-39,W
1,2094,104,"Schellhammer, Allison",03:00:34,40-44,W
1,2095,105,"Kizershot White, Michaela",02:59:58,18-39,W
1,2104,106,"Dambrosia, Katie",03:00:11,18-39,W
1,2108,107,"Baeza Fuentes, Sofia Carolina",03:01:17,40-44,W
1,2111,108,"Morrissey, Katrina",02:56:50,18-39,W
1,2141,109,"Hoffstadt, Christin",02:57:07,18-39,W
1,2143,110,"Howe, Emma",02:58:39,18-39,W
1,2148,111,"Brash, Lucy",02:59:33,18-39,W
1,2149,112,"Haug, Heather",03:00:07,18-39,W
1,2157,113,"Veneziano, Lisa",03:01:08,55-59,W
1,2177,114,"Priebe, Maggie",02:56:59,18-39,W
