place;place_gender;name;surname;country;age_group;finish_time;gender;marathon
1;1;Korir; John;KEN;25-29;2:02:44;M;Chicago Marathon
2;2;Esa; Huseydin Mohamed;ETH;20-24;2:04:39;M;Chicago Marathon
3;3;Kipruto; Amos;KEN;30-34;2:04:50;M;Chicago Marathon
4;4;Ngetich; Vincent;KEN;25-29;2:05:16;M;Chicago Marathon
5;5;Ebenyo; Daniel;KEN;25-29;2:06:04;M;Chicago Marathon
6;6;Hosoya; Kyohei;JPN;25-29;2:07:20;M;Chicago Marathon
7;7;Albertson; Cj;USA;30-34;2:08:17;M;Chicago Marathon
8;8;Sadakata; Toshiki;JPN;30-34;2:08:22;M;Chicago Marathon
9;9;Masai; Alex;KEN;25-29;2:08:51;M;Chicago Marathon
10;10;Panning; Zach;USA;25-29;2:09:16;M;Chicago Marathon
11;1;Chepngetich; Ruth;KEN;30-34;2:09:56;W;Chicago Marathon
12;12;Yasui; Yuichi;JPN;25-29;2:10:11;M;Chicago Marathon
13;13;Fischer; Reed;USA;30-34;2:10:14;M;Chicago Marathon
14;14;Shrader; Brian;USA;30-34;2:10:25;M;Chicago Marathon
15;15;Wolde Arega; Dawit;ETH;30-34;2:10:53;M;Chicago Marathon
16;16;Kipchirchir; Shadrack;USA;35-39;2:11:05;M;Chicago Marathon
17;17;Maruyama; Tatsuya;JPN;30-34;2:11:07;M;Chicago Marathon
18;18;Maier; Alex;USA;20-24;2:11:24;M;Chicago Marathon
19;19;Wiley; Turner;USA;30-34;2:11:55;M;Chicago Marathon
20;20;Sweeney; Charlie;USA;25-29;2:12:23;M;Chicago Marathon
21;21;Flavin; Jp;USA;25-29;2:12:34;M;Chicago Marathon
22;22;Yoshioka; Tomoki;JPN;25-29;2:14:04;M;Chicago Marathon
23;23;Mickow; Colin;USA;30-34;2:14:10;M;Chicago Marathon
24;24;Gruen; Aaron;AUT;25-29;2:14:21;M;Chicago Marathon
25;25;Martin; Nathan;USA;30-34;2:14:48;M;Chicago Marathon
26;26;Kendell; Ben;USA;25-29;2:15:11;M;Chicago Marathon
27;27;Parrot-Migas; Phil;CAN;30-34;2:15:32;M;Chicago Marathon
28;2;Asefa Kebede; Sutume;ETH;25-29;2:17:32;W;Chicago Marathon
29;29;Gomez Mejia; Victor;MEX;30-34;2:17:37;M;Chicago Marathon
30;30;Searle; Ryder;USA;25-29;2:17:38;M;Chicago Marathon
31;31;Lynch; Peter;IRL;25-29;2:17:40;M;Chicago Marathon
32;3;Cheptai; Irine;KEN;30-34;2:17:51;W;Chicago Marathon
